0.001		-nan(ind)		-nan(ind)
0.002		0.000742143		0.000972316
0.003		0.00156766		0.00175483
0.004		0.00235538		0.00220071
0.005		0.00349901		0.00242678
0.006		0.00550497		0.00270252
0.007		0.00852546		0.00325666
0.008		0.0123478		0.0041298
0.009		0.0165975		0.00518915
0.01		0.020915		0.00626919
0.011		0.0250433		0.00724522
0.012		0.0288452		0.00804408
0.013		0.0322832		0.00863534
0.014		0.0353872		0.00901895
0.015		0.0382242		0.00921436
0.016		0.0408742		0.00925197
0.017		0.0434148		0.00916743
0.018		0.0459126		0.00899787
0.019		0.0484195		0.00877968
0.02		0.0509729		0.00854707
0.021		0.0535966		0.00833089
0.022		0.0563039		0.00815742
0.023		0.0591		0.0080471
0.024		0.0619841		0.00801337
0.025		0.0649514		0.00806222
0.026		0.0679952		0.00819252
0.027		0.071107		0.00839755
0.028		0.0742784		0.00866686
0.029		0.0775006		0.00898836
0.03		0.0807652		0.0093499
0.031		0.0840643		0.00974031
0.032		0.0873903		0.01015
0.033		0.0907362		0.0105709
0.034		0.0940952		0.0109966
0.035		0.0974609		0.0114223
0.036		0.100827		0.0118439
0.037		0.104188		0.0122587
0.038		0.107537		0.0126642
0.039		0.110869		0.0130588
0.04		0.114179		0.0134412
0.041		0.117461		0.0138103
0.042		0.12071		0.0141653
0.043		0.12392		0.0145053
0.044		0.127087		0.0148299
0.045		0.130207		0.0151384
0.046		0.133275		0.0154304
0.047		0.136287		0.0157056
0.048		0.139239		0.0159635
0.049		0.142128		0.0162038
0.05		0.144951		0.0164264
0.051		0.147706		0.0166311
0.052		0.150389		0.0168177
0.053		0.152999		0.0169864
0.054		0.155535		0.017137
0.055		0.157995		0.0172699
0.056		0.160378		0.017385
0.057		0.162684		0.0174827
0.058		0.164912		0.0175633
0.059		0.167063		0.0176272
0.06		0.169136		0.0176748
0.061		0.171134		0.0177065
0.062		0.173055		0.0177229
0.063		0.174902		0.0177245
0.064		0.176675		0.017712
0.065		0.178376		0.0176859
0.066		0.180007		0.0176468
0.067		0.181569		0.0175954
0.068		0.183064		0.0175324
0.069		0.184494		0.0174584
0.07		0.185861		0.0173741
0.071		0.187168		0.0172803
0.072		0.188415		0.0171775
0.073		0.189605		0.0170664
0.074		0.190741		0.0169478
0.075		0.191825		0.0168223
0.076		0.192858		0.0166906
0.077		0.193844		0.0165532
0.078		0.194784		0.0164109
0.079		0.195679		0.0162642
0.08		0.196534		0.0161138
0.081		0.197349		0.0159602
0.082		0.198126		0.0158041
0.083		0.198868		0.015646
0.084		0.199576		0.0154864
0.085		0.200252		0.015326
0.086		0.200898		0.015165
0.087		0.201517		0.0150042
0.088		0.202108		0.014844
0.089		0.202676		0.0146847
0.09		0.203219		0.0145269
0.091		0.203741		0.014371
0.092		0.204243		0.0142174
0.093		0.204727		0.0140665
0.094		0.205192		0.0139186
0.095		0.205642		0.0137741
0.096		0.206077		0.0136333
0.097		0.206498		0.0134965
0.098		0.206906		0.0133641
0.099		0.207303		0.0132362
0.1		0.207689		0.0131131
0.101		0.208066		0.0129951
0.102		0.208435		0.0128824
0.103		0.208795		0.012775
0.104		0.209149		0.0126733
0.105		0.209497		0.0125773
0.106		0.209839		0.0124871
0.107		0.210177		0.0124028
0.108		0.210511		0.0123246
0.109		0.210842		0.0122524
0.11		0.21117		0.0121863
0.111		0.211495		0.0121263
0.112		0.21182		0.0120723
0.113		0.212143		0.0120244
0.114		0.212465		0.0119825
0.115		0.212788		0.0119466
0.116		0.21311		0.0119164
0.117		0.213433		0.011892
0.118		0.213757		0.0118733
0.119		0.214083		0.01186
0.12		0.21441		0.0118521
0.121		0.214738		0.0118493
0.122		0.215069		0.0118516
0.123		0.215403		0.0118588
0.124		0.215739		0.0118706
0.125		0.216078		0.0118869
0.126		0.21642		0.0119076
0.127		0.216765		0.0119323
0.128		0.217113		0.011961
0.129		0.217465		0.0119934
0.13		0.217821		0.0120292
0.131		0.21818		0.0120685
0.132		0.218543		0.0121108
0.133		0.218911		0.0121561
0.134		0.219282		0.0122041
0.135		0.219657		0.0122546
0.136		0.220037		0.0123076
0.137		0.22042		0.0123627
0.138		0.220808		0.0124198
0.139		0.221201		0.0124787
0.14		0.221597		0.0125393
0.141		0.221998		0.0126015
0.142		0.222403		0.012665
0.143		0.222813		0.0127297
0.144		0.223226		0.0127954
0.145		0.223645		0.0128621
0.146		0.224067		0.0129296
0.147		0.224493		0.0129978
0.148		0.224924		0.0130665
0.149		0.225359		0.0131356
0.15		0.225798		0.0132051
0.151		0.226242		0.0132748
0.152		0.226689		0.0133446
0.153		0.22714		0.0134144
0.154		0.227595		0.0134842
0.155		0.228054		0.0135538
0.156		0.228517		0.0136233
0.157		0.228983		0.0136924
0.158		0.229453		0.0137611
0.159		0.229927		0.0138294
0.16		0.230404		0.0138972
0.161		0.230884		0.0139645
0.162		0.231368		0.0140311
0.163		0.231855		0.0140971
0.164		0.232345		0.0141624
0.165		0.232838		0.0142269
0.166		0.233334		0.0142907
0.167		0.233833		0.0143536
0.168		0.234335		0.0144156
0.169		0.234839		0.0144767
0.17		0.235346		0.0145369
0.171		0.235855		0.0145961
