0.001		-nan(ind)		-nan(ind)
0.002		0.00779178		0.00906481
0.003		0.148769		0.173313
0.004		0.589138		0.687066
0.005		1.25148		1.46091
0.006		1.9526		2.28146
0.007		2.5644		2.99895
0.008		3.03853		3.5564
0.009		3.37673		3.95532
0.01		3.60148		4.22168
0.011		3.73931		4.38635
0.012		3.81383		4.47685
0.013		3.8437		4.51503
0.014		3.84288		4.5172
0.015		3.82142		4.49515
0.016		3.78641		4.45718
0.017		3.74281		4.40909
0.018		3.69403		4.35486
0.019		3.64239		4.29721
0.02		3.58948		4.238
0.021		3.53637		4.17845
0.022		3.48376		4.1194
0.023		3.43212		4.06139
0.024		3.38176		4.00477
0.025		3.33285		3.94976
0.026		3.2855		3.89649
0.027		3.23978		3.84503
0.028		3.19569		3.79541
0.029		3.15323		3.74762
0.03		3.11237		3.70162
0.031		3.07307		3.65739
0.032		3.03529		3.61486
0.033		2.99896		3.57399
0.034		2.96404		3.5347
0.035		2.93046		3.49692
0.036		2.89816		3.4606
0.037		2.86708		3.42566
0.038		2.83716		3.39204
0.039		2.80834		3.35965
0.04		2.78057		3.32845
0.041		2.75378		3.29836
0.042		2.72792		3.26932
0.043		2.70294		3.24126
0.044		2.67879		3.21414
0.045		2.65541		3.18789
0.046		2.63278		3.16247
0.047		2.61083		3.13782
0.048		2.58954		3.11389
0.049		2.56886		3.09065
0.05		2.54875		3.06804
0.051		2.52918		3.04603
0.052		2.51012		3.02458
0.053		2.49155		3.00365
0.054		2.47342		2.98322
0.055		2.45571		2.96324
0.056		2.43841		2.94371
0.057		2.42148		2.92457
0.058		2.40491		2.90582
0.059		2.38867		2.88743
0.06		2.37275		2.86938
0.061		2.35712		2.85165
0.062		2.34178		2.83422
0.063		2.32671		2.81706
0.064		2.31189		2.80018
0.065		2.29731		2.78355
0.066		2.28296		2.76716
0.067		2.26883		2.751
0.068		2.25491		2.73505
0.069		2.24118		2.71931
0.07		2.22765		2.70376
0.071		2.21429		2.6884
0.072		2.20111		2.67322
0.073		2.1881		2.65821
0.074		2.17524		2.64336
0.075		2.16254		2.62867
0.076		2.14999		2.61413
0.077		2.13758		2.59974
0.078		2.1253		2.58549
0.079		2.11316		2.57137
0.08		2.10115		2.55739
0.081		2.08927		2.54353
0.082		2.07751		2.5298
0.083		2.06586		2.51619
0.084		2.05433		2.5027
0.085		2.04291		2.48932
0.086		2.03161		2.47605
0.087		2.02041		2.4629
0.088		2.00931		2.44985
0.089		1.99832		2.43691
0.09		1.98742		2.42407
0.091		1.97663		2.41134
0.092		1.96593		2.3987
0.093		1.95532		2.38616
0.094		1.94481		2.37372
0.095		1.93439		2.36138
0.096		1.92406		2.34913
