0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.005		0.0358927		0.00643782
0.006		0.0464683		0.00716327
0.007		0.0565053		0.00819596
0.008		0.0654193		0.00928437
0.009		0.073009		0.0102231
0.01		0.0793295		0.0109249
0.011		0.0845467		0.0113836
0.012		0.0888517		0.0116361
0.013		0.0924234		0.0117371
0.014		0.0954154		0.0117427
0.015		0.0979543		0.0117018
0.016		0.100142		0.0116516
0.017		0.102056		0.011617
0.018		0.103759		0.0116123
0.019		0.105293		0.011643
0.02		0.106691		0.0117082
0.021		0.107972		0.0118035
0.022		0.109151		0.0119222
0.023		0.110235		0.0120567
0.024		0.111227		0.0122
0.025		0.112127		0.0123454
0.026		0.112935		0.0124871
0.027		0.113649		0.0126205
0.028		0.114268		0.0127418
0.029		0.11479		0.0128479
0.03		0.115215		0.0129368
0.031		0.115543		0.0130071
0.032		0.115775		0.0130579
0.033		0.115913		0.0130888
0.034		0.11596		0.0130999
0.035		0.11592		0.0130915
0.036		0.115797		0.0130644
0.037		0.115597		0.0130193
0.038		0.115323		0.0129575
0.039		0.114983		0.0128799
0.04		0.114582		0.0127878
0.041		0.114126		0.0126825
0.042		0.113621		0.0125652
0.043		0.113073		0.0124374
0.044		0.112488		0.0123001
0.045		0.111872		0.0121547
0.046		0.11123		0.0120023
0.047		0.110568		0.0118441
0.048		0.109892		0.011681
0.049		0.109205		0.0115142
0.05		0.108512		0.0113444
0.051		0.107818		0.0111727
0.052		0.107126		0.0109997
0.053		0.106441		0.0108263
0.054		0.105766		0.010653
0.055		0.105103		0.0104805
0.056		0.104456		0.0103094
0.057		0.103827		0.0101402
0.058		0.103219		0.00997326
0.059		0.102633		0.00980908
0.06		0.102072		0.009648
0.061		0.101537		0.00949036
0.062		0.10103		0.00933647
0.063		0.100551		0.00918661
0.064		0.100103		0.00904101
0.065		0.0996848		0.00889989
0.066		0.0992987		0.00876347
0.067		0.0989449		0.00863192
0.068		0.0986239		0.0085054
0.069		0.0983361		0.00838407
0.07		0.0980818		0.00826806
0.071		0.0978613		0.00815751
0.072		0.0976745		0.00805252
0.073		0.0975216		0.0079532
0.074		0.0974024		0.00785966
0.075		0.0973169		0.00777199
0.076		0.0972649		0.00769026
0.077		0.0972462		0.00761455
0.078		0.0972605		0.00754493
0.079		0.0973074		0.00748147
0.08		0.0973867		0.00742422
0.081		0.0974979		0.00737322
0.082		0.0976405		0.0073285
0.083		0.0978143		0.0072901
0.084		0.0980186		0.00725803
0.085		0.098253		0.00723231
0.086		0.098517		0.00721291
0.087		0.09881		0.00719984
0.088		0.0991316		0.00719305
0.089		0.0994812		0.00719252
0.09		0.0998582		0.00719818
0.091		0.100262		0.00720998
0.092		0.100692		0.00722784
0.093		0.101148		0.00725167
0.094		0.101629		0.00728137
0.095		0.102135		0.00731682
0.096		0.102665		0.00735792
0.097		0.103218		0.00740452
0.098		0.103795		0.00745649
0.099		0.104393		0.00751367
0.1		0.105014		0.00757592
0.101		0.105655		0.00764306
0.102		0.106318		0.00771494
0.103		0.107		0.00779139
0.104		0.107702		0.00787221
0.105		0.108423		0.00795725
0.106		0.109163		0.00804632
0.107		0.109921		0.00813924
0.108		0.110696		0.00823583
0.109		0.111488		0.0083359
0.11		0.112296		0.00843929
0.111		0.113121		0.0085458
0.112		0.113961		0.00865527
0.113		0.114816		0.00876751
0.114		0.115686		0.00888237
0.115		0.116569		0.00899966
0.116		0.117466		0.00911923
0.117		0.118377		0.00924091
0.118		0.1193		0.00936455
0.119		0.120235		0.00948999
0.12		0.121181		0.00961707
0.121		0.12214		0.00974566
0.122		0.123109		0.00987561
0.123		0.124088		0.0100068
0.124		0.125078		0.010139
0.125		0.126077		0.0102722
0.126		0.127086		0.0104063
0.127		0.128103		0.010541
0.128		0.129129		0.0106764
0.129		0.130163		0.0108122
0.13		0.131204		0.0109483
0.131		0.132253		0.0110847
0.132		0.133309		0.0112213
0.133		0.134371		0.0113579
0.134		0.13544		0.0114945
0.135		0.136515		0.0116309
0.136		0.137595		0.0117671
0.137		0.13868		0.0119029
0.138		0.139771		0.0120384
0.139		0.140865		0.0121733
0.14		0.141964		0.0123077
0.141		0.143067		0.0124415
0.142		0.144174		0.0125745
0.143		0.145284		0.0127068
0.144		0.146397		0.0128382
0.145		0.147513		0.0129687
0.146		0.148631		0.0130982
0.147		0.149751		0.0132267
0.148		0.150873		0.0133541
0.149		0.151997		0.0134804
0.15		0.153122		0.0136054
0.151		0.154248		0.0137293
0.152		0.155375		0.0138518
0.153		0.156502		0.013973
0.154		0.15763		0.0140929
0.155		0.158758		0.0142113
0.156		0.159886		0.0143282
0.157		0.161013		0.0144437
0.158		0.16214		0.0145577
0.159		0.163266		0.0146701
0.16		0.164391		0.0147809
0.161		0.165514		0.0148901
0.162		0.166636		0.0149977
0.163		0.167757		0.0151036
0.164		0.168875		0.0152078
0.165		0.169992		0.0153103
0.166		0.171106		0.0154111
0.167		0.172218		0.0155102
0.168		0.173327		0.0156074
0.169		0.174433		0.0157029
