0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		0.00464018		0.00224442
0.004		0.00452559		0.00204942
0.005		0.00464394		0.00192438
0.006		0.00486428		0.00192558
0.007		0.00510738		0.00203545
0.008		0.0053352		0.00220214
0.009		0.00553596		0.0023834
0.01		0.00571364		0.00255607
0.011		0.00588149		0.00271034
0.012		0.00605793		0.0028437
0.013		0.00626344		0.00295715
0.014		0.00651849		0.00305324
0.015		0.00684206		0.00313501
0.016		0.00725103		0.00320555
0.017		0.00775986		0.00326771
0.018		0.00838066		0.00332407
0.019		0.00912327		0.00337688
0.02		0.0099954		0.00342808
0.021		0.0110027		0.00347934
0.022		0.012149		0.00353209
0.023		0.0134359		0.00358763
0.024		0.0148633		0.00364719
0.025		0.0164295		0.003712
0.026		0.018131		0.00378336
0.027		0.0199626		0.00386267
0.028		0.0219182		0.00395139
0.029		0.0239904		0.00405107
0.03		0.026171		0.00416322
0.031		0.028451		0.00428926
0.032		0.0308213		0.00443041
0.033		0.0332722		0.00458764
0.034		0.0357941		0.00476155
0.035		0.0383776		0.00495238
0.036		0.0410135		0.00516001
0.037		0.0436929		0.00538391
0.038		0.0464074		0.00562323
0.039		0.0491489		0.00587687
0.04		0.0519102		0.00614348
0.041		0.0546844		0.00642157
0.042		0.0574652		0.00670953
0.043		0.0602472		0.00700573
0.044		0.0630251		0.0073085
0.045		0.0657945		0.00761621
0.046		0.0685514		0.00792729
0.047		0.0712924		0.00824024
0.048		0.0740145		0.00855365
0.049		0.0767151		0.00886619
0.05		0.079392		0.00917668
0.051		0.0820434		0.009484
0.052		0.0846679		0.00978715
0.053		0.0872642		0.0100853
0.054		0.0898315		0.0103775
0.055		0.092369		0.0106633
0.056		0.0948762		0.0109419
0.057		0.0973529		0.011213
0.058		0.0997988		0.011476
0.059		0.102214		0.0117306
0.06		0.104598		0.0119766
0.061		0.106952		0.0122137
0.062		0.109275		0.0124419
0.063		0.111568		0.0126609
0.064		0.113832		0.0128708
0.065		0.116066		0.0130716
0.066		0.118271		0.0132632
0.067		0.120447		0.0134459
0.068		0.122595		0.0136196
0.069		0.124715		0.0137845
0.07		0.126808		0.0139408
0.071		0.128874		0.0140886
0.072		0.130914		0.0142281
0.073		0.132927		0.0143595
0.074		0.134915		0.0144831
0.075		0.136878		0.0145989
0.076		0.138816		0.0147074
0.077		0.140729		0.0148086
0.078		0.142619		0.0149028
0.079		0.144484		0.0149903
0.08		0.146326		0.0150712
0.081		0.148146		0.0151458
0.082		0.149942		0.0152144
0.083		0.151717		0.0152772
0.084		0.153469		0.0153343
0.085		0.1552		0.0153861
0.086		0.156909		0.0154327
0.087		0.158597		0.0154743
0.088		0.160264		0.0155112
0.089		0.161911		0.0155436
0.09		0.163538		0.0155716
0.091		0.165145		0.0155956
0.092		0.166732		0.0156156
0.093		0.1683		0.0156318
0.094		0.169848		0.0156445
0.095		0.171378		0.0156539
0.096		0.172889		0.0156601
0.097		0.174382		0.0156632
0.098		0.175857		0.0156636
0.099		0.177314		0.0156613
0.1		0.178754		0.0156565
0.101		0.180177		0.0156493
0.102		0.181582		0.01564
0.103		0.182971		0.0156287
0.104		0.184343		0.0156155
0.105		0.185699		0.0156007
0.106		0.18704		0.0155842
0.107		0.188364		0.0155664
0.108		0.189673		0.0155472
0.109		0.190967		0.015527
0.11		0.192246		0.0155057
0.111		0.193511		0.0154836
0.112		0.194761		0.0154607
0.113		0.195997		0.0154372
0.114		0.197219		0.0154132
0.115		0.198427		0.0153888
0.116		0.199622		0.0153642
0.117		0.200804		0.0153394
0.118		0.201973		0.0153145
0.119		0.203129		0.0152897
0.12		0.204273		0.0152651
0.121		0.205405		0.0152407
0.122		0.206525		0.0152166
0.123		0.207633		0.0151929
0.124		0.208729		0.0151698
0.125		0.209815		0.0151473
0.126		0.210889		0.0151254
0.127		0.211952		0.0151042
0.128		0.213005		0.0150838
0.129		0.214048		0.0150643
0.13		0.21508		0.0150458
0.131		0.216102		0.0150281
0.132		0.217115		0.0150115
0.133		0.218118		0.014996
0.134		0.219112		0.0149816
0.135		0.220096		0.0149683
0.136		0.221072		0.0149562
0.137		0.222038		0.0149452
0.138		0.222996		0.0149355
0.139		0.223946		0.0149271
0.14		0.224887		0.0149199
0.141		0.225821		0.014914
0.142		0.226746		0.0149094
0.143		0.227663		0.0149061
0.144		0.228573		0.014904
0.145		0.229475		0.0149033
0.146		0.23037		0.0149038
0.147		0.231258		0.0149057
0.148		0.232139		0.0149088
0.149		0.233013		0.0149131
0.15		0.23388		0.0149187
0.151		0.23474		0.0149255
0.152		0.235594		0.0149336
0.153		0.236442		0.0149428
0.154		0.237283		0.0149532
0.155		0.238118		0.0149647
0.156		0.238947		0.0149773
0.157		0.239769		0.014991
0.158		0.240586		0.0150057
0.159		0.241398		0.0150215
0.16		0.242203		0.0150382
0.161		0.243003		0.0150559
0.162		0.243798		0.0150744
0.163		0.244587		0.0150939
0.164		0.24537		0.0151142
0.165		0.246149		0.0151352
0.166		0.246922		0.0151571
0.167		0.24769		0.0151796
0.168		0.248453		0.0152029
0.169		0.249211		0.0152267
0.17		0.249964		0.0152512
0.171		0.250713		0.0152763
0.172		0.251456		0.0153018
0.173		0.252195		0.0153279
0.174		0.252929		0.0153544
0.175		0.253658		0.0153813
0.176		0.254383		0.0154085
0.177		0.255103		0.0154362
0.178		0.255819		0.0154641
