0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.2		0.218638		0.26769
0.201		0.21985		0.269286
0.202		0.221048		0.270863
0.203		0.22223		0.272423
0.204		0.223397		0.273965
0.205		0.22455		0.27549
0.206		0.225688		0.276996
0.207		0.226811		0.278486
0.208		0.227919		0.279958
0.209		0.229013		0.281412
0.21		0.230092		0.282849
0.211		0.231157		0.284269
0.212		0.232208		0.285671
0.213		0.233244		0.287057
0.214		0.234266		0.288425
0.215		0.235274		0.289776
0.216		0.236269		0.29111
0.217		0.237249		0.292427
0.218		0.238215		0.293727
0.219		0.239168		0.295011
0.22		0.240107		0.296278
0.221		0.241033		0.297529
0.222		0.241946		0.298762
0.223		0.242845		0.29998
0.224		0.24373		0.301181
0.225		0.244603		0.302367
0.226		0.245463		0.303536
0.227		0.24631		0.304689
0.228		0.247144		0.305826
0.229		0.247966		0.306947
0.23		0.248774		0.308053
0.231		0.249571		0.309143
0.232		0.250355		0.310218
0.233		0.251127		0.311277
0.234		0.251887		0.312322
0.235		0.252634		0.313351
0.236		0.25337		0.314365
0.237		0.254094		0.315364
0.238		0.254806		0.316348
0.239		0.255507		0.317317
0.24		0.256196		0.318272
0.241		0.256874		0.319213
0.242		0.257541		0.320139
0.243		0.258196		0.321051
0.244		0.25884		0.321949
0.245		0.259474		0.322833
0.246		0.260097		0.323703
0.247		0.260708		0.324559
0.248		0.26131		0.325402
0.249		0.261901		0.326231
0.25		0.262481		0.327047
0.251		0.263051		0.327849
0.252		0.263611		0.328638
0.253		0.264161		0.329415
0.254		0.264701		0.330178
0.255		0.265231		0.330928
0.256		0.265751		0.331666
0.257		0.266262		0.332391
0.258		0.266763		0.333104
0.259		0.267255		0.333805
0.26		0.267737		0.334493
0.261		0.268211		0.335169
0.262		0.268675		0.335833
0.263		0.26913		0.336486
0.264		0.269576		0.337126
0.265		0.270013		0.337755
0.266		0.270442		0.338373
0.267		0.270861		0.338979
0.268		0.271273		0.339573
0.269		0.271676		0.340157
0.27		0.272071		0.34073
0.271		0.272457		0.341291
0.272		0.272835		0.341842
0.273		0.273206		0.342382
0.274		0.273568		0.342912
0.275		0.273922		0.343431
0.276		0.274269		0.343939
0.277		0.274608		0.344438
0.278		0.27494		0.344926
0.279		0.275264		0.345404
0.28		0.27558		0.345873
0.281		0.275889		0.346331
0.282		0.276192		0.34678
