0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		4.83892		5.47178
0.005		6.41929		7.34141
0.006		7.30237		8.43528
0.007		7.73892		9.01427
0.008		7.92534		9.29464
0.009		7.97752		9.4087
0.01		7.95858		9.43077
0.011		7.90231		9.40188
0.012		7.82691		9.3448
0.013		7.74217		9.27227
0.014		7.65336		9.19138
0.015		7.56317		9.10606
0.016		7.47294		9.0184
0.017		7.38322		8.92946
0.018		7.2942		8.83971
0.019		7.20584		8.74935
0.02		7.11807		8.65843
0.021		7.03079		8.56695
0.022		6.94393		8.47491
0.023		6.85745		8.38234
0.024		6.77134		8.28929
0.025		6.68562		8.19583
0.026		6.60032		8.10206
0.027		6.51551		8.00809
0.028		6.43125		7.91404
0.029		6.34761		7.82005
0.03		6.26467		7.72624
0.031		6.18251		7.63274
0.032		6.10118		7.53967
0.033		6.02076		7.44715
0.034		5.9413		7.35527
0.035		5.86285		7.26414
0.036		5.78546		7.17385
0.037		5.70917		7.08447
0.038		5.63401		6.99606
0.039		5.56001		6.9087
0.04		5.48718		6.82243
0.041		5.41555		6.73729
0.042		5.34511		6.65333
0.043		5.27589		6.57056
0.044		5.20787		6.48901
0.045		5.14107		6.40871
0.046		5.07547		6.32966
0.047		5.01106		6.25188
0.048		4.94785		6.17536
0.049		4.88581		6.1001
0.05		4.82493		6.02612
0.051		4.7652		5.95339
0.052		4.70661		5.88191
0.053		4.64913		5.81168
0.054		4.59275		5.74267
0.055		4.53745		5.67488
0.056		4.48321		5.6083
0.057		4.43001		5.5429
0.058		4.37783		5.47867
0.059		4.32665		5.41559
0.06		4.27645		5.35365
0.061		4.22722		5.29282
0.062		4.17892		5.23309
0.063		4.13154		5.17444
0.064		4.08506		5.11684
0.065		4.03947		5.06028
0.066		3.99473		5.00474
0.067		3.95084		4.95019
0.068		3.90776		4.89662
0.069		3.86549		4.84401
0.07		3.82401		4.79234
0.071		3.7833		4.74159
0.072		3.74333		4.69174
0.073		3.7041		4.64276
0.074		3.66558		4.59465
0.075		3.62776		4.54739
0.076		3.59063		4.50095
0.077		3.55416		4.45531
0.078		3.51834		4.41047
0.079		3.48316		4.3664
0.08		3.4486		4.32309
0.081		3.41465		4.28052
0.082		3.38129		4.23867
0.083		3.34851		4.19753
0.084		3.31629		4.15709
0.085		3.28463		4.11732
0.086		3.25351		4.07821
0.087		3.22292		4.03976
0.088		3.19284		4.00193
0.089		3.16326		3.96473
0.09		3.13418		3.92813
0.091		3.10558		3.89213
0.092		3.07745		3.85671
0.093		3.04978		3.82186
0.094		3.02256		3.78757
0.095		2.99579		3.75382
0.096		2.96944		3.7206
0.097		2.94351		3.6879
0.098		2.91799		3.65572
0.099		2.89287		3.62403
0.1		2.86815		3.59283
0.101		2.84382		3.56212
0.102		2.81986		3.53187
0.103		2.79627		3.50208
0.104		2.77303		3.47274
0.105		2.75016		3.44384
0.106		2.72763		3.41537
0.107		2.70543		3.38732
0.108		2.68357		3.35969
0.109		2.66203		3.33246
0.11		2.64081		3.30563
0.111		2.61991		3.27919
0.112		2.5993		3.25312
0.113		2.579		3.22744
0.114		2.55898		3.20212
0.115		2.53926		3.17716
0.116		2.51981		3.15255
0.117		2.50064		3.12828
0.118		2.48174		3.10436
0.119		2.46311		3.08076
0.12		2.44473		3.05749
0.121		2.42661		3.03454
0.122		2.40873		3.0119
0.123		2.3911		2.98957
0.124		2.37371		2.96754
0.125		2.35656		2.94581
0.126		2.33963		2.92437
0.127		2.32293		2.90321
0.128		2.30646		2.88233
0.129		2.2902		2.86172
0.13		2.27415		2.84138
0.131		2.25832		2.82131
0.132		2.24269		2.8015
0.133		2.22726		2.78194
0.134		2.21203		2.76263
0.135		2.19699		2.74357
0.136		2.18215		2.72474
0.137		2.16749		2.70616
0.138		2.15302		2.68781
0.139		2.13873		2.66968
0.14		2.12461		2.65178
0.141		2.11067		2.6341
0.142		2.09691		2.61664
0.143		2.08331		2.59939
0.144		2.06988		2.58235
0.145		2.0566		2.56552
0.146		2.04349		2.54888
0.147		2.03054		2.53245
0.148		2.01774		2.51621
0.149		2.0051		2.50017
0.15		1.9926		2.48431
0.151		1.98025		2.46864
0.152		1.96804		2.45315
0.153		1.95598		2.43785
0.154		1.94405		2.42271
0.155		1.93226		2.40776
0.156		1.92061		2.39297
0.157		1.90909		2.37835
0.158		1.8977		2.3639
0.159		1.88644		2.34961
0.16		1.87531		2.33548
0.161		1.8643		2.32151
0.162		1.85341		2.3077
0.163		1.84265		2.29404
0.164		1.832		2.28052
0.165		1.82147		2.26716
0.166		1.81105		2.25394
0.167		1.80075		2.24087
0.168		1.79056		2.22793
0.169		1.78047		2.21514
0.17		1.7705		2.20249
0.171		1.76063		2.18996
0.172		1.75087		2.17758
0.173		1.74121		2.16532
0.174		1.73165		2.15319
0.175		1.72219		2.14119
0.176		1.71283		2.12931
0.177		1.70357		2.11756
0.178		1.6944		2.10593
0.179		1.68533		2.09442
0.18		1.67635		2.08303
0.181		1.66746		2.07175
0.182		1.65866		2.06059
0.183		1.64995		2.04954
