0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.005		0.0419451		0.00653304
0.006		0.0539032		0.00824626
0.007		0.064018		0.00981071
0.008		0.0720916		0.0109428
0.009		0.0781656		0.011581
0.01		0.08254		0.0117955
0.011		0.0855907		0.0117012
0.012		0.0876753		0.0114154
0.013		0.0890958		0.0110378
0.014		0.0900902		0.0106443
0.015		0.0908372		0.0102863
0.016		0.0914652		0.00999349
0.017		0.0920622		0.00977861
0.018		0.0926845		0.00964176
0.019		0.093364		0.00957514
0.02		0.094115		0.00956683
0.021		0.094939		0.00960364
0.022		0.0958286		0.00967292
0.023		0.0967707		0.00976354
0.024		0.0977491		0.0098662
0.025		0.0987462		0.00997344
0.026		0.0997442		0.0100794
0.027		0.100726		0.0101797
0.028		0.101677		0.010271
0.029		0.102584		0.0103509
0.03		0.103434		0.0104176
0.031		0.104219		0.0104702
0.032		0.104931		0.0105079
0.033		0.105566		0.0105306
0.034		0.10612		0.0105382
0.035		0.106592		0.010531
0.036		0.106981		0.0105097
0.037		0.107288		0.0104747
0.038		0.107516		0.0104269
0.039		0.107667		0.010367
0.04		0.107746		0.0102961
0.041		0.107756		0.010215
0.042		0.107703		0.0101248
0.043		0.107591		0.0100264
0.044		0.107425		0.00992068
0.045		0.107212		0.00980868
0.046		0.106956		0.00969127
0.047		0.106662		0.00956932
0.048		0.106336		0.00944364
0.049		0.105983		0.00931503
0.05		0.105607		0.0091842
0.051		0.105214		0.00905184
0.052		0.104807		0.00891857
0.053		0.104392		0.00878498
0.054		0.10397		0.0086516
0.055		0.103548		0.00851892
0.056		0.103127		0.00838739
0.057		0.102711		0.00825743
0.058		0.102303		0.0081294
0.059		0.101906		0.00800364
0.06		0.101522		0.00788046
0.061		0.101153		0.00776014
0.062		0.100801		0.00764293
0.063		0.100468		0.00752907
0.064		0.100157		0.00741877
0.065		0.0998671		0.00731221
0.066		0.099601		0.00720959
0.067		0.0993595		0.00711106
0.068		0.0991436		0.00701677
0.069		0.0989541		0.00692687
0.07		0.0987917		0.00684149
0.071		0.0986571		0.00676075
0.072		0.0985506		0.00668477
0.073		0.0984727		0.00661366
0.074		0.0984237		0.00654752
0.075		0.0984037		0.00648644
0.076		0.0984129		0.00643052
0.077		0.0984514		0.00637985
0.078		0.0985191		0.00633449
0.079		0.0986159		0.00629452
0.08		0.0987418		0.00625999
0.081		0.0988966		0.00623097
0.082		0.0990801		0.0062075
0.083		0.0992919		0.00618961
0.084		0.0995319		0.00617733
0.085		0.0997996		0.00617067
0.086		0.100095		0.00616964
0.087		0.100417		0.00617422
0.088		0.100766		0.00618439
0.089		0.101141		0.00620013
0.09		0.101543		0.00622138
0.091		0.101969		0.00624808
0.092		0.102421		0.00628018
0.093		0.102897		0.00631757
0.094		0.103397		0.00636018
0.095		0.10392		0.0064079
0.096		0.104467		0.00646061
0.097		0.105036		0.0065182
0.098		0.105627		0.00658053
0.099		0.10624		0.00664746
0.1		0.106874		0.00671886
0.101		0.107528		0.00679457
0.102		0.108203		0.00687443
0.103		0.108897		0.0069583
0.104		0.10961		0.007046
0.105		0.110342		0.00713738
0.106		0.111092		0.00723227
0.107		0.111859		0.00733051
0.108		0.112644		0.00743193
0.109		0.113445		0.00753637
0.11		0.114262		0.00764366
0.111		0.115096		0.00775365
0.112		0.115944		0.00786616
0.113		0.116807		0.00798105
0.114		0.117684		0.00809816
0.115		0.118576		0.00821733
0.116		0.11948		0.00833841
0.117		0.120398		0.00846126
0.118		0.121328		0.00858574
0.119		0.12227		0.00871169
0.12		0.123224		0.00883899
0.121		0.124189		0.00896751
0.122		0.125165		0.0090971
0.123		0.126151		0.00922765
0.124		0.127147		0.00935903
0.125		0.128153		0.00949112
0.126		0.129167		0.0096238
0.127		0.130191		0.00975696
0.128		0.131223		0.0098905
0.129		0.132263		0.0100243
0.13		0.133311		0.0101583
0.131		0.134366		0.0102923
0.132		0.135427		0.0104263
0.133		0.136496		0.0105601
0.134		0.13757		0.0106938
0.135		0.13865		0.0108271
0.136		0.139736		0.01096
0.137		0.140827		0.0110925
0.138		0.141923		0.0112244
0.139		0.143023		0.0113557
0.14		0.144127		0.0114863
0.141		0.145235		0.0116162
0.142		0.146347		0.0117452
0.143		0.147461		0.0118733
0.144		0.148579		0.0120004
0.145		0.149699		0.0121265
0.146		0.150822		0.0122516
0.147		0.151947		0.0123755
0.148		0.153073		0.0124982
0.149		0.154201		0.0126197
0.15		0.15533		0.01274
0.151		0.15646		0.0128589
0.152		0.157591		0.0129764
0.153		0.158722		0.0130925
0.154		0.159853		0.0132072
0.155		0.160984		0.0133204
0.156		0.162114		0.0134321
0.157		0.163245		0.0135422
0.158		0.164374		0.0136508
0.159		0.165502		0.0137577
0.16		0.166629		0.013863
0.161		0.167755		0.0139666
0.162		0.168878		0.0140686
0.163		0.17		0.0141688
0.164		0.17112		0.0142674
0.165		0.172238		0.0143642
0.166		0.173352		0.0144592
0.167		0.174465		0.0145524
0.168		0.175574		0.0146439
0.169		0.17668		0.0147335
