0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.206		0.214227		0.0267401
0.207		0.215558		0.026789
0.208		0.216884		0.0268361
0.209		0.218204		0.0268815
0.21		0.21952		0.0269251
0.211		0.22083		0.0269671
0.212		0.222135		0.0270073
0.213		0.223435		0.0270459
0.214		0.224729		0.0270828
0.215		0.226019		0.0271181
0.216		0.227303		0.0271518
0.217		0.228581		0.0271838
0.218		0.229855		0.0272143
0.219		0.231123		0.0272433
0.22		0.232386		0.0272707
0.221		0.233643		0.0272966
0.222		0.234895		0.027321
0.223		0.236142		0.0273439
0.224		0.237383		0.0273654
0.225		0.238619		0.0273854
0.226		0.239849		0.027404
0.227		0.241074		0.0274211
0.228		0.242293		0.0274369
0.229		0.243507		0.0274513
0.23		0.244715		0.0274643
0.231		0.245918		0.027476
0.232		0.247115		0.0274864
0.233		0.248307		0.0274955
0.234		0.249493		0.0275033
0.235		0.250674		0.0275098
0.236		0.251849		0.027515
0.237		0.253018		0.027519
0.238		0.254181		0.0275218
0.239		0.25534		0.0275234
0.24		0.256492		0.0275238
0.241		0.257639		0.027523
0.242		0.25878		0.0275211
0.243		0.259915		0.027518
0.244		0.261045		0.0275138
0.245		0.262169		0.0275085
0.246		0.263287		0.027502
0.247		0.264399		0.0274945
0.248		0.265506		0.027486
0.249		0.266607		0.0274763
0.25		0.267702		0.0274657
0.251		0.268792		0.027454
0.252		0.269875		0.0274413
0.253		0.270953		0.0274276
0.254		0.272025		0.0274129
0.255		0.273092		0.0273973
0.256		0.274152		0.0273807
0.257		0.275207		0.0273632
0.258		0.276256		0.0273447
0.259		0.277299		0.0273254
0.26		0.278336		0.0273051
0.261		0.279367		0.027284
0.262		0.280392		0.027262
0.263		0.281412		0.0272391
0.264		0.282426		0.0272154
0.265		0.283434		0.0271909
0.266		0.284435		0.0271655
0.267		0.285431		0.0271394
0.268		0.286422		0.0271124
0.269		0.287406		0.0270847
0.27		0.288384		0.0270562
0.271		0.289356		0.0270269
0.272		0.290323		0.0269969
0.273		0.291283		0.0269661
0.274		0.292238		0.0269347
0.275		0.293187		0.0269025
0.276		0.294129		0.0268697
0.277		0.295066		0.0268361
0.278		0.295997		0.0268019
0.279		0.296922		0.026767
0.28		0.297841		0.0267315
0.281		0.298754		0.0266953
0.282		0.299661		0.0266585
0.283		0.300562		0.026621
0.284		0.301457		0.026583
0.285		0.302346		0.0265444
0.286		0.30323		0.0265052
0.287		0.304107		0.0264654
0.288		0.304978		0.026425
0.289		0.305844		0.0263841
0.29		0.306703		0.0263427
0.291		0.307556		0.0263007
0.292		0.308404		0.0262582
0.293		0.309245		0.0262151
0.294		0.310081		0.0261716
0.295		0.31091		0.0261276
0.296		0.311734		0.0260831
0.297		0.312551		0.0260381
0.298		0.313363		0.0259926
0.299		0.314169		0.0259467
0.3		0.314969		0.0259003
0.301		0.315762		0.0258535
0.302		0.31655		0.0258063
0.303		0.317332		0.0257587
0.304		0.318108		0.0257106
0.305		0.318878		0.0256621
0.306		0.319642		0.0256133
0.307		0.3204		0.025564
0.308		0.321152		0.0255144
0.309		0.321899		0.0254644
0.31		0.322639		0.0254141
0.311		0.323373		0.0253634
0.312		0.324102		0.0253123
0.313		0.324825		0.025261
0.314		0.325541		0.0252092
0.315		0.326252		0.0251572
0.316		0.326957		0.0251049
0.317		0.327656		0.0250522
0.318		0.328349		0.0249993
0.319		0.329037		0.0249461
0.32		0.329718		0.0248926
0.321		0.330394		0.0248388
0.322		0.331063		0.0247847
0.323		0.331727		0.0247304
0.324		0.332385		0.0246758
0.325		0.333037		0.024621
0.326		0.333684		0.024566
0.327		0.334324		0.0245107
0.328		0.334959		0.0244552
0.329		0.335588		0.0243995
0.33		0.336211		0.0243436
0.331		0.336829		0.0242874
0.332		0.337441		0.0242311
0.333		0.338046		0.0241746
0.334		0.338647		0.0241179
0.335		0.339241		0.024061
0.336		0.33983		0.0240039
0.337		0.340413		0.0239467
0.338		0.34099		0.0238893
0.339		0.341562		0.0238318
0.34		0.342127		0.0237741
0.341		0.342688		0.0237162
0.342		0.343242		0.0236583
0.343		0.343791		0.0236002
0.344		0.344335		0.0235419
0.345		0.344872		0.0234836
