0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-0.0391471		1.21452
0.005		0.0275398		0.00495094
0.006		0.0358836		0.00563183
0.007		0.0448411		0.00675156
0.008		0.0537797		0.00801593
0.009		0.0622449		0.00918327
0.01		0.0699958		0.0101529
0.011		0.0769389		0.0109034
0.012		0.0830664		0.0114497
0.013		0.0884181		0.0118222
0.014		0.0930597		0.0120565
0.015		0.0970687		0.0121871
0.016		0.100525		0.0122445
0.017		0.103506		0.0122532
0.018		0.106081		0.0122317
0.019		0.10831		0.0121933
0.02		0.110242		0.0121465
0.021		0.111921		0.0120969
0.022		0.113377		0.012047
0.023		0.114637		0.0119981
0.024		0.115721		0.0119501
0.025		0.116644		0.0119024
0.026		0.117419		0.0118537
0.027		0.118057		0.0118029
0.028		0.118564		0.0117486
0.029		0.11895		0.0116897
0.03		0.119219		0.0116252
0.031		0.11938		0.0115541
0.032		0.119437		0.011476
0.033		0.119399		0.0113905
0.034		0.11927		0.0112973
0.035		0.119058		0.0111967
0.036		0.118769		0.0110889
0.037		0.11841		0.0109742
0.038		0.117988		0.0108533
0.039		0.117509		0.0107267
0.04		0.116979		0.0105953
0.041		0.116407		0.0104597
0.042		0.115796		0.0103208
0.043		0.115155		0.0101794
0.044		0.114488		0.0100363
0.045		0.1138		0.00989222
0.046		0.113098		0.00974797
0.047		0.112385		0.00960423
0.048		0.111668		0.00946166
0.049		0.110949		0.00932088
0.05		0.110232		0.00918244
0.051		0.109523		0.00904683
0.052		0.108823		0.00891451
0.053		0.108136		0.00878587
0.054		0.107464		0.00866126
0.055		0.106811		0.00854097
0.056		0.106178		0.00842525
0.057		0.105568		0.0083143
0.058		0.104982		0.0082083
0.059		0.104421		0.00810738
0.06		0.103888		0.00801163
0.061		0.103384		0.00792113
0.062		0.102909		0.00783591
0.063		0.102464		0.00775601
0.064		0.10205		0.00768141
0.065		0.101668		0.00761211
0.066		0.101318		0.00754808
0.067		0.101001		0.00748927
0.068		0.100716		0.00743564
0.069		0.100465		0.00738713
0.07		0.100246		0.00734367
0.071		0.100061		0.0073052
0.072		0.0999088		0.00727165
0.073		0.0997895		0.00724296
0.074		0.0997028		0.00721905
0.075		0.0996487		0.00719986
0.076		0.0996269		0.00718532
0.077		0.099637		0.00717537
0.078		0.0996787		0.00716994
0.079		0.0997517		0.00716898
0.08		0.0998554		0.00717242
0.081		0.0999896		0.00718021
0.082		0.100154		0.00719231
0.083		0.100347		0.00720865
0.084		0.10057		0.00722918
0.085		0.100821		0.00725387
0.086		0.1011		0.00728265
0.087		0.101407		0.00731549
0.088		0.10174		0.00735232
0.089		0.102101		0.00739311
0.09		0.102486		0.00743779
0.091		0.102898		0.00748632
0.092		0.103334		0.00753864
0.093		0.103794		0.00759469
0.094		0.104279		0.00765442
0.095		0.104786		0.00771776
0.096		0.105316		0.00778464
0.097		0.105868		0.00785499
0.098		0.106442		0.00792875
0.099		0.107037		0.00800583
0.1		0.107653		0.00808615
0.101		0.108288		0.00816964
0.102		0.108943		0.00825621
0.103		0.109618		0.00834577
0.104		0.11031		0.00843822
0.105		0.111021		0.00853347
0.106		0.111749		0.00863143
0.107		0.112494		0.008732
0.108		0.113256		0.00883507
0.109		0.114034		0.00894055
0.11		0.114827		0.00904832
0.111		0.115636		0.00915828
0.112		0.116459		0.00927033
0.113		0.117297		0.00938435
0.114		0.118148		0.00950025
0.115		0.119013		0.0096179
0.116		0.11989		0.00973721
0.117		0.12078		0.00985805
0.118		0.121682		0.00998034
0.119		0.122596		0.0101039
0.12		0.123521		0.0102288
0.121		0.124456		0.0103547
0.122		0.125402		0.0104817
0.123		0.126358		0.0106095
0.124		0.127324		0.0107382
0.125		0.128299		0.0108675
0.126		0.129283		0.0109975
0.127		0.130276		0.011128
0.128		0.131276		0.0112588
0.129		0.132284		0.01139
0.13		0.1333		0.0115214
0.131		0.134323		0.0116529
0.132		0.135353		0.0117845
0.133		0.136388		0.011916
0.134		0.137431		0.0120474
0.135		0.138478		0.0121785
0.136		0.139532		0.0123094
0.137		0.14059		0.0124399
0.138		0.141653		0.01257
0.139		0.142721		0.0126995
0.14		0.143792		0.0128285
0.141		0.144868		0.0129567
0.142		0.145947		0.0130843
0.143		0.14703		0.013211
0.144		0.148116		0.0133369
0.145		0.149204		0.0134619
0.146		0.150295		0.0135859
0.147		0.151388		0.0137089
0.148		0.152483		0.0138308
0.149		0.15358		0.0139515
0.15		0.154679		0.0140711
0.151		0.155778		0.0141894
0.152		0.156879		0.0143065
0.153		0.15798		0.0144222
0.154		0.159082		0.0145366
0.155		0.160184		0.0146495
0.156		0.161286		0.014761
0.157		0.162388		0.0148711
0.158		0.163489		0.0149796
0.159		0.16459		0.0150866
0.16		0.16569		0.015192
0.161		0.16679		0.0152958
0.162		0.167887		0.0153979
0.163		0.168984		0.0154984
0.164		0.170079		0.0155972
0.165		0.171172		0.0156944
0.166		0.172263		0.0157898
0.167		0.173353		0.0158834
0.168		0.174439		0.0159753
0.169		0.175524		0.0160654
0.17		0.176605		0.0161537
