U/W		E_0		E_1		E_2		E_3		E_4		E_5		E_6		E_7		E_8		E_9		E_10		E_11		E_12		E_13		E_14		
0.0500000000	-2.9733436469	-2.5037858033	-2.4634278136	-2.4086818093	-1.9748767205	-1.9517644016	-1.9310681084	-1.9168639415	-1.9041210135	-1.8768418891	-1.8396470684	-1.7999132782	-1.4891355370	-1.4167104462	-1.3877290463	
0.1000000000	-2.2545570067	-1.9727325265	-1.8135663417	-1.7367513374	-1.6722447661	-1.5558187906	-1.5227876680	-1.5064432578	-1.4734865223	-1.4517691666	-1.3694462014	-1.2587217799	-1.2531695683	-1.2418010576	-1.2029692803	
0.1500000000	-2.0011952550	-1.8142602624	-1.6151083144	-1.5874133398	-1.5158241478	-1.4787331233	-1.4352596791	-1.4146896971	-1.3619223330	-1.3256953766	-1.3201976494	-1.2839341553	-1.2332297809	-1.1571621158	-1.1246328176	
0.2000000000	-1.8668794050	-1.7282009931	-1.5801767027	-1.5105605832	-1.4805874026	-1.4301740721	-1.3916476685	-1.3522953684	-1.3442199426	-1.2872749612	-1.2323216906	-1.2322423643	-1.1906912014	-1.1303633406	-1.1093820413	
0.2500000000	-1.7822149699	-1.6734290663	-1.5563402248	-1.5070204914	-1.4486582584	-1.4102613107	-1.3940284718	-1.3438046925	-1.2646760342	-1.2415901019	-1.2393051693	-1.1733985926	-1.1326316997	-1.1207125602	-1.1172755821	
0.3000000000	-1.7239538203	-1.6361144867	-1.5397842237	-1.5061896997	-1.4533734509	-1.4047432481	-1.3761806757	-1.3350475947	-1.2506927181	-1.2166098012	-1.2111657141	-1.1683911316	-1.1300519688	-1.1294198033	-1.1221231740	
0.3500000000	-1.6820301601	-1.6102029028	-1.5287182479	-1.5082003621	-1.4604857401	-1.4156324271	-1.3545335664	-1.3329604821	-1.2647610994	-1.2099472541	-1.1901146527	-1.1883940897	-1.1484344903	-1.1276662103	-1.0966020253	
0.4000000000	-1.6513326707	-1.5925484189	-1.5220958426	-1.5128390279	-1.4690750693	-1.4273107140	-1.3420858484	-1.3361845635	-1.2806609714	-1.2476768459	-1.1754910310	-1.1728972426	-1.1637242774	-1.1333652241	-1.0812041537	
0.4500000000	-1.6289794370	-1.5813044628	-1.5197413007	-1.5192006441	-1.4791654799	-1.4403594336	-1.3434733230	-1.3362090351	-1.2979020361	-1.2828554173	-1.1762372314	-1.1656659019	-1.1656558207	-1.1394353376	-1.0850571800	
0.5000000000	-1.6132577207	-1.5752932597	-1.5284502245	-1.5194886856	-1.4906390260	-1.4549879258	-1.3539085030	-1.3352016883	-1.3162482745	-1.3161764078	-1.1867965421	-1.1640235369	-1.1596179475	-1.1460895030	-1.0923003335	
0.5500000000	-1.6032004585	-1.5737306407	-1.5383848084	-1.5225210860	-1.5032553412	-1.4711712254	-1.3667793729	-1.3483424303	-1.3379252962	-1.3352774748	-1.1961561542	-1.1663684376	-1.1567342256	-1.1534944269	-1.1016709728	
0.6000000000	-1.5984787725	-1.5760934959	-1.5487167790	-1.5279321632	-1.5166976071	-1.4887690857	-1.3815281485	-1.3794625602	-1.3550589930	-1.3435855329	-1.2049719068	-1.1717100839	-1.1617653658	-1.1565628325	-1.1125957174	
0.6500000000	-1.5993800470	-1.5820347888	-1.5582641876	-1.5354123591	-1.5306149849	-1.5075994166	-1.4098334393	-1.3977272614	-1.3754128842	-1.3516084678	-1.2137702604	-1.1794040878	-1.1709704010	-1.1587928555	-1.1247541400	
0.7000000000	-1.6061817519	-1.5912859432	-1.5660405269	-1.5446976852	-1.5446932537	-1.5274778410	-1.4396156214	-1.4150584016	-1.3962564297	-1.3615676158	-1.2229417964	-1.1890080899	-1.1811384294	-1.1632233693	-1.1378980365	
0.7500000000	-1.6179144110	-1.6035300971	-1.5724424784	-1.5587614753	-1.5555622428	-1.5482361434	-1.4689268459	-1.4332888355	-1.4175244905	-1.3731386856	-1.2327551090	-1.2002030715	-1.1922681538	-1.1698028100	-1.1517271652	
0.8000000000	-1.6328575756	-1.6183214407	-1.5787207745	-1.5728564873	-1.5697288705	-1.5678123722	-1.4978554173	-1.4522489825	-1.4391645636	-1.3860702121	-1.2433795402	-1.2127490927	-1.2043365193	-1.1787846889	-1.1656951275	
0.8500000000	-1.6497710485	-1.6351354479	-1.5918339077	-1.5871592698	-1.5857257289	-1.5812818151	-1.5264688627	-1.4718141871	-1.4611335160	-1.4001638062	-1.2549086575	-1.2264593798	-1.2173058483	-1.1907947396	-1.1789235657	
0.9000000000	-1.6679873359	-1.6534859719	-1.6144503704	-1.6018666748	-1.5958276181	-1.5937979468	-1.5548197030	-1.4918912362	-1.4833953499	-1.4152605057	-1.2673807811	-1.2411844871	-1.2311294690	-1.2057294544	-1.1912938389	
0.9500000000	-1.6871480525	-1.6729925312	-1.6374955766	-1.6171148473	-1.6113266391	-1.6030193961	-1.5829494023	-1.5124089000	-1.5059196257	-1.4312311375	-1.2807955405	-1.2568021942	-1.2457559271	-1.2224825537	-1.2037149086	
1.0000000000	-1.7070424027	-1.6933815161	-1.6609019574	-1.6329703244	-1.6276725697	-1.6133654054	-1.6108911316	-1.5333114643	-1.5286803195	-1.4479693878	-1.2951266270	-1.2732107958	-1.2611320020	-1.2403151061	-1.2167495772	
1.0500000000	-1.7275335786	-1.7144608017	-1.6846142718	-1.6494490793	-1.6447734050	-1.6386717439	-1.6247708960	-1.5545543458	-1.5516549740	-1.4653867403	-1.3103313140	-1.2903244741	-1.2772047783	-1.2589117753	-1.2305556035	
