U/W		E_0		E_1		E_2		E_3		E_4		E_5		E_6		E_7		E_8		E_9		E_10		E_11		E_12		E_13		E_14		
0.0500000000	-3.6892515195	-2.8322102961	-2.7149557470	-2.7149557470	-2.6637884362	-2.6637884362	-1.9762973877	-1.9762973877	-1.9756387923	-1.8704945193	-1.8704945193	-1.8428929663	-1.8428929663	-1.8309238901	-1.8309238901	
0.1000000000	-2.8098602297	-2.3813979220	-1.9561194002	-1.9561194002	-1.9550091699	-1.8590401046	-1.8590401046	-1.7625246725	-1.7625246725	-1.5256467435	-1.4562793997	-1.4562793997	-1.4011970287	-1.4011970287	-1.3739560505	
0.1500000000	-2.5047607648	-2.2190992751	-1.9380072756	-1.9366917121	-1.9366917121	-1.6491549731	-1.5816266672	-1.5816266672	-1.4435857290	-1.4435857290	-1.3292397402	-1.3292397402	-1.2433698100	-1.2433698100	-1.1963079633	
0.2000000000	-2.3453268352	-2.1309739027	-1.9244832185	-1.9215105818	-1.9215105818	-1.7039660160	-1.4497887319	-1.4497887319	-1.2826327977	-1.2826327977	-1.2751819352	-1.2751819352	-1.1562215679	-1.1562215679	-1.0825670552	
0.2500000000	-2.2457499365	-2.0740894278	-1.9142517186	-1.9093924994	-1.9093924994	-1.7328574377	-1.3779759517	-1.3779759517	-1.2510966313	-1.2510966313	-1.1920414265	-1.1920414265	-1.1042036921	-1.1036476047	-1.0983142327	
0.3000000000	-2.1773438437	-2.0340692551	-1.9071024314	-1.9001436726	-1.9001436726	-1.7500657172	-1.3366807911	-1.3366807911	-1.2424403606	-1.2424403606	-1.1366295309	-1.1366295309	-1.1261768285	-1.1255571368	-1.0583628683	
0.3500000000	-2.1277361816	-2.0046877076	-1.9028104471	-1.8935973527	-1.8935973527	-1.7616549511	-1.3129385074	-1.3129385074	-1.2428276004	-1.2428276004	-1.1484537286	-1.1477791592	-1.0998254696	-1.0998254696	-1.0708043930	
0.4000000000	-2.0906693124	-1.9827705515	-1.9011457179	-1.8895845345	-1.8895845345	-1.7706123945	-1.3001866784	-1.3001866784	-1.2489767905	-1.2489767905	-1.1710055220	-1.1702839593	-1.1028571429	-1.1028571429	-1.0848415809	
0.4500000000	-2.0626027716	-1.9664967607	-1.9018807938	-1.8879330250	-1.8879330250	-1.7785482347	-1.2947808773	-1.2947808773	-1.2590209457	-1.2590209457	-1.1938066152	-1.1930450555	-1.1410119048	-1.1410119048	-1.0996900984	
0.5000000000	-2.0413558092	-1.9547206663	-1.9047966442	-1.8884703196	-1.8884703196	-1.7863771167	-1.2945510518	-1.2945510518	-1.2718210363	-1.2718210363	-1.2168342622	-1.2160388604	-1.1767857143	-1.1767857143	-1.1152928825	
0.5500000000	-2.0254914713	-1.9466650864	-1.9096866375	-1.8910268278	-1.8910268278	-1.7946298637	-1.2981296334	-1.2981296334	-1.2866453651	-1.2866453651	-1.2400682087	-1.2392443556	-1.2108279221	-1.2108279221	-1.1315954160	
0.6000000000	-2.0140093729	-1.9417689032	-1.9163589319	-1.8954386459	-1.8954386459	-1.8036113345	-1.3046126516	-1.3046126516	-1.3030042706	-1.3030042706	-1.2634903865	-1.2626427925	-1.2435714286	-1.2435714286	-1.1485460759	
0.6500000000	-2.0061807037	-1.9396057567	-1.9246376002	-1.9015496678	-1.9015496678	-1.8134872401	-1.3205586357	-1.3205586357	-1.3133777474	-1.3133777474	-1.2870846487	-1.2862174238	-1.2753159341	-1.2753159341	-1.1660963329	
0.7000000000	-2.0014541602	-1.9398381222	-1.9343628197	-1.9092130283	-1.9092130283	-1.8243352350	-1.3390665104	-1.3390665104	-1.3239811737	-1.3239811737	-1.3108365385	-1.3099532666	-1.3062755102	-1.3062755102	-1.1842008346	
0.7500000000	-1.9993995590	-1.9453904161	-1.9421900928	-1.9182919503	-1.9182919503	-1.8361766500	-1.3583506627	-1.3583506627	-1.3366071429	-1.3366071429	-1.3360968008	-1.3360968008	-1.3347330885	-1.3338368932	-1.2028174005	
0.8000000000	-1.9996725456	-1.9575909974	-1.9464305402	-1.9286601027	-1.9286601027	-1.8489970099	-1.3782781717	-1.3782781717	-1.3664285714	-1.3664285714	-1.3587626448	-1.3578562481	-1.3494785368	-1.3494785368	-1.2219069523	
0.8500000000	-2.0019916424	-1.9708488567	-1.9523622659	-1.9402015783	-1.9402015783	-1.8627596602	-1.3987472149	-1.3987472149	-1.3958298319	-1.3958298319	-1.3829147142	-1.3820004882	-1.3639363549	-1.3639363549	-1.2414333972	
0.9000000000	-2.0061227980	-1.9850607705	-1.9598147271	-1.9528105946	-1.9528105946	-1.8774149462	-1.4248809524	-1.4248809524	-1.4196782893	-1.4196782893	-1.4071798310	-1.4062598421	-1.3793205211	-1.3793205211	-1.2613634817	
0.9500000000	-2.0118686517	-2.0001347819	-1.9686389608	-1.9663910057	-1.9663910057	-1.8929064156	-1.4536372180	-1.4536372180	-1.4410082417	-1.4410082417	-1.4315494398	-1.4306254882	-1.3955109299	-1.3955109299	-1.2816666254	
1.0000000000	-2.0190608563	-2.0159890222	-1.9808556960	-1.9808556960	-1.9787039001	-1.9091749780	-1.4821428571	-1.4821428571	-1.4626861219	-1.4626861219	-1.4560157938	-1.4550894474	-1.4124097126	-1.4124097126	-1.3023147456	
1.0500000000	-2.0325506058	-2.0275544390	-1.9961259121	-1.9961259121	-1.9898935981	-1.9261616444	-1.5104336735	-1.5104336735	-1.4846702451	-1.4846702451	-1.4805718656	-1.4796444891	-1.4299360013	-1.4299360013	-1.3232820791	
