0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		0.844088		0.846409
0.004		2.02354		2.04048
0.005		3.13479		3.18622
0.006		3.94823		4.04867
0.007		4.46452		4.6184
0.008		4.75863		4.96339
0.009		4.9059		5.1561
0.01		4.96231		5.25215
0.011		4.96489		5.28922
0.012		4.93667		5.29128
0.013		4.89151		5.27301
0.014		4.83755		5.24318
0.015		4.7795		5.20694
0.016		4.72004		5.16732
0.017		4.66068		5.12604
0.018		4.60225		5.08414
0.019		4.54521		5.04219
0.02		4.48979		5.00054
0.021		4.43609		4.9594
0.022		4.38414		4.91889
0.023		4.33392		4.87907
0.024		4.28538		4.83996
0.025		4.23846		4.80158
0.026		4.19307		4.7639
0.027		4.14915		4.72691
0.028		4.1066		4.69057
0.029		4.06532		4.65485
0.03		4.02525		4.6197
0.031		3.98629		4.58509
0.032		3.94836		4.55096
0.033		3.91139		4.51729
0.034		3.8753		4.48403
0.035		3.84003		4.45114
0.036		3.80552		4.4186
0.037		3.77171		4.38637
0.038		3.73855		4.35442
0.039		3.706		4.32274
0.04		3.67401		4.29131
0.041		3.64255		4.2601
0.042		3.61158		4.2291
0.043		3.58108		4.19831
0.044		3.55101		4.1677
0.045		3.52136		4.13729
0.046		3.49211		4.10705
0.047		3.46322		4.07699
0.048		3.4347		4.0471
0.049		3.40653		4.01739
0.05		3.37869		3.98785
0.051		3.35118		3.95848
0.052		3.32398		3.9293
0.053		3.29709		3.90029
0.054		3.27049		3.87146
0.055		3.24419		3.84281
0.056		3.21818		3.81436
0.057		3.19245		3.78609
0.058		3.16701		3.75802
0.059		3.14183		3.73015
0.06		3.11693		3.70248
0.061		3.09229		3.67501
0.062		3.06792		3.64775
0.063		3.04381		3.6207
0.064		3.01997		3.59387
0.065		2.99638		3.56725
0.066		2.97304		3.54085
0.067		2.94996		3.51467
0.068		2.92713		3.48872
0.069		2.90455		3.46299
0.07		2.88222		3.43748
0.071		2.86013		3.41221
0.072		2.83828		3.38716
0.073		2.81668		3.36235
0.074		2.79531		3.33776
0.075		2.77418		3.31341
0.076		2.75329		3.28929
0.077		2.73263		3.2654
0.078		2.7122		3.24175
0.079		2.69199		3.21832
0.08		2.67202		3.19513
0.081		2.65227		3.17217
0.082		2.63274		3.14944
0.083		2.61343		3.12694
0.084		2.59434		3.10467
0.085		2.57546		3.08263
0.086		2.5568		3.06081
0.087		2.53835		3.03922
0.088		2.52011		3.01786
0.089		2.50207		2.99671
0.09		2.48424		2.97579
0.091		2.46661		2.95509
0.092		2.44918		2.93461
0.093		2.43195		2.91435
0.094		2.41492		2.8943
0.095		2.39807		2.87446
0.096		2.38142		2.85484
0.097		2.36496		2.83542
0.098		2.34868		2.81621
0.099		2.33258		2.79721
0.1		2.31667		2.77841
0.101		2.30094		2.75982
0.102		2.28538		2.74142
0.103		2.27		2.72322
0.104		2.25479		2.70522
0.105		2.23975		2.68741
0.106		2.22488		2.66979
0.107		2.21018		2.65236
0.108		2.19564		2.63512
0.109		2.18126		2.61806
0.11		2.16704		2.60119
0.111		2.15298		2.58449
0.112		2.13908		2.56798
0.113		2.12533		2.55164
0.114		2.11173		2.53548
0.115		2.09828		2.51949
0.116		2.08498		2.50367
0.117		2.07182		2.48802
0.118		2.05881		2.47254
0.119		2.04594		2.45722
0.12		2.03321		2.44206
0.121		2.02062		2.42706
0.122		2.00816		2.41222
0.123		1.99584		2.39754
0.124		1.98365		2.38301
0.125		1.97159		2.36864
0.126		1.95966		2.35441
0.127		1.94786		2.34033
0.128		1.93619		2.32641
0.129		1.92463		2.31262
0.13		1.9132		2.29898
0.131		1.90189		2.28548
0.132		1.8907		2.27212
0.133		1.87963		2.2589
0.134		1.86867		2.24581
0.135		1.85783		2.23286
0.136		1.8471		2.22004
0.137		1.83648		2.20735
0.138		1.82597		2.19479
0.139		1.81557		2.18236
0.14		1.80528		2.17005
0.141		1.79509		2.15787
0.142		1.785		2.14581
0.143		1.77502		2.13387
0.144		1.76514		2.12205
0.145		1.75536		2.11035
0.146		1.74568		2.09877
0.147		1.73609		2.0873
0.148		1.7266		2.07594
0.149		1.71721		2.0647
0.15		1.70791		2.05356
0.151		1.6987		2.04254
0.152		1.68958		2.03162
0.153		1.68055		2.02081
0.154		1.67161		2.01011
0.155		1.66276		1.99951
0.156		1.65399		1.98901
0.157		1.64531		1.97861
0.158		1.63672		1.96831
0.159		1.6282		1.95811
0.16		1.61977		1.94801
0.161		1.61142		1.938
0.162		1.60315		1.92809
0.163		1.59496		1.91827
0.164		1.58685		1.90855
0.165		1.57881		1.89891
0.166		1.57085		1.88937
0.167		1.56296		1.87992
0.168		1.55515		1.87055
0.169		1.54741		1.86127
0.17		1.53974		1.85207
0.171		1.53214		1.84296
0.172		1.52461		1.83394
0.173		1.51716		1.82499
0.174		1.50977		1.81613
0.175		1.50245		1.80735
0.176		1.49519		1.79865
0.177		1.488		1.79003
0.178		1.48088		1.78148
0.179		1.47382		1.77301
0.18		1.46682		1.76462
0.181		1.45989		1.7563
0.182		1.45302		1.74805
0.183		1.44621		1.73988
0.184		1.43946		1.73178
0.185		1.43277		1.72376
0.186		1.42614		1.7158
0.187		1.41957		1.70791
0.188		1.41305		1.70009
0.189		1.40659		1.69234
0.19		1.40019		1.68465
0.191		1.39384		1.67703
0.192		1.38755		1.66948
0.193		1.38131		1.66199
0.194		1.37513		1.65457
0.195		1.36899		1.64721
0.196		1.36291		1.63991
0.197		1.35689		1.63267
0.198		1.35091		1.62549
0.199		1.34498		1.61838
0.2		1.33911		1.61132
0.201		1.33328		1.60433
0.202		1.3275		1.59739
0.203		1.32177		1.5905
0.204		1.31609		1.58368
0.205		1.31045		1.57691
0.206		1.30486		1.5702
0.207		1.29931		1.56354
0.208		1.29382		1.55693
0.209		1.28836		1.55038
0.21		1.28295		1.54389
0.211		1.27758		1.53744
0.212		1.27226		1.53105
0.213		1.26698		1.52471
0.214		1.26174		1.51842
0.215		1.25655		1.51218
0.216		1.25139		1.50598
0.217		1.24628		1.49984
0.218		1.24121		1.49375
0.219		1.23617		1.4877
0.22		1.23118		1.4817
0.221		1.22623		1.47575
0.222		1.22131		1.46985
0.223		1.21643		1.46399
0.224		1.21159		1.45817
0.225		1.20679		1.4524
0.226		1.20202		1.44668
0.227		1.1973		1.441
0.228		1.1926		1.43536
0.229		1.18795		1.42976
0.23		1.18332		1.42421
0.231		1.17874		1.4187
0.232		1.17419		1.41323
0.233		1.16967		1.4078
0.234		1.16518		1.40242
0.235		1.16073		1.39707
0.236		1.15632		1.39176
0.237		1.15193		1.38649
0.238		1.14758		1.38126
0.239		1.14326		1.37607
0.24		1.13897		1.37092
0.241		1.13472		1.36581
0.242		1.13049		1.36073
0.243		1.1263		1.35569
0.244		1.12213		1.35068
0.245		1.118		1.34572
0.246		1.11389		1.34078
0.247		1.10982		1.33589
0.248		1.10577		1.33103
0.249		1.10176		1.3262
0.25		1.09777		1.32141
0.251		1.09381		1.31665
0.252		1.08988		1.31192
0.253		1.08597		1.30723
0.254		1.08209		1.30257
0.255		1.07825		1.29795
0.256		1.07442		1.29335
0.257		1.07063		1.28879
0.258		1.06686		1.28426
0.259		1.06311		1.27976
0.26		1.0594		1.2753
0.261		1.0557		1.27086
0.262		1.05204		1.26645
0.263		1.04839		1.26208
0.264		1.04478		1.25773
0.265		1.04119		1.25341
0.266		1.03762		1.24912
0.267		1.03407		1.24486
