0.001		-nan(ind)		-nan(ind)
0.002		0.000493053		0
0.003		0.00209132		0
0.004		0.00392327		0
0.005		0.0055264		0
0.006		0.00679369		0
0.007		0.00772016		0
0.008		0.00833977		0
0.009		0.00870304		0
0.01		0.00886415		0
0.011		0.00887404		0
0.012		0.0087779		0
0.013		0.0086149		0
0.014		0.00841882		0
0.015		0.0082187		0
0.016		0.0080393		0
0.017		0.00790139		0
0.018		0.00782198		0
0.019		0.00781451		0
0.02		0.0078892		0
0.021		0.00805337		0
0.022		0.00831188		0
0.023		0.00866754		0
0.024		0.00912157		0
0.025		0.00967393		0
0.026		0.0103237		0
0.027		0.0110693		0
0.028		0.0119088		0
0.029		0.0128398		0
0.03		0.0138601		0
0.031		0.014967		0
0.032		0.0161581		0
0.033		0.0174309		0
0.034		0.0187828		0
0.035		0.0202113		0
0.036		0.0217138		0
0.037		0.0232879		0
0.038		0.024931		0
0.039		0.0266405		0
0.04		0.0284137		0
0.041		0.0302482		0
0.042		0.0321412		0
0.043		0.03409		0
0.044		0.036092		0
0.045		0.0381444		0
0.046		0.0402445		0
0.047		0.0423896		0
0.048		0.0445771		0
0.049		0.0468041		0
0.05		0.0490682		0
0.051		0.0513666		0
0.052		0.0536967		0
0.053		0.0560561		0
0.054		0.0584423		0
0.055		0.0608528		0
0.056		0.0632854		0
0.057		0.0657376		0
0.058		0.0682074		0
0.059		0.0706925		0
0.06		0.0731909		0
0.061		0.0757007		0
0.062		0.0782198		0
0.063		0.0807466		0
0.064		0.0832792		0
0.065		0.0858159		0
0.066		0.0883551		0
0.067		0.0908954		0
0.068		0.0934351		0
0.069		0.0959731		0
0.07		0.0985078		0
0.071		0.101038		0
0.072		0.103563		0
0.073		0.10608		0
0.074		0.10859		0
0.075		0.111091		0
0.076		0.113582		0
0.077		0.116062		0
0.078		0.118531		0
0.079		0.120987		0
0.08		0.123429		0
0.081		0.125858		0
0.082		0.128272		0
0.083		0.13067		0
0.084		0.133053		0
0.085		0.135419		0
0.086		0.137767		0
0.087		0.140098		0
0.088		0.142411		0
0.089		0.144705		0
0.09		0.14698		0
0.091		0.149236		0
0.092		0.151472		0
0.093		0.153688		0
0.094		0.155884		0
0.095		0.158058		0
0.096		0.160212		0
0.097		0.162345		0
0.098		0.164456		0
0.099		0.166545		0
0.1		0.168613		0
0.101		0.170659		0
0.102		0.172683		0
0.103		0.174685		0
0.104		0.176664		0
0.105		0.178621		0
0.106		0.180556		0
0.107		0.182468		0
0.108		0.184358		0
0.109		0.186225		0
0.11		0.18807		0
0.111		0.189893		0
0.112		0.191693		0
0.113		0.193471		0
0.114		0.195226		0
0.115		0.19696		0
0.116		0.198671		0
0.117		0.20036		0
0.118		0.202027		0
0.119		0.203673		0
0.12		0.205297		0
0.121		0.206899		0
0.122		0.20848		0
0.123		0.21004		0
0.124		0.211579		0
0.125		0.213097		0
0.126		0.214595		0
0.127		0.216072		0
0.128		0.217528		0
0.129		0.218965		0
0.13		0.220382		0
0.131		0.221779		0
0.132		0.223157		0
0.133		0.224515		0
0.134		0.225855		0
0.135		0.227176		0
0.136		0.228478		0
0.137		0.229762		0
0.138		0.231028		0
0.139		0.232276		0
0.14		0.233507		0
0.141		0.234721		0
0.142		0.235917		0
0.143		0.237097		0
0.144		0.23826		0
0.145		0.239407		0
0.146		0.240538		0
0.147		0.241653		0
0.148		0.242752		0
0.149		0.243837		0
0.15		0.244906		0
0.151		0.24596		0
0.152		0.247		0
0.153		0.248026		0
0.154		0.249038		0
0.155		0.250035		0
0.156		0.25102		0
0.157		0.251991		0
0.158		0.252949		0
0.159		0.253894		0
0.16		0.254826		0
0.161		0.255746		0
0.162		0.256654		0
0.163		0.25755		0
0.164		0.258434		0
0.165		0.259307		0
0.166		0.260169		0
0.167		0.261019		0
0.168		0.261859		0
0.169		0.262688		0
0.17		0.263506		0
0.171		0.264315		0
0.172		0.265113		0
0.173		0.265901		0
0.174		0.26668		0
0.175		0.267449		0
0.176		0.268209		0
0.177		0.26896		0
0.178		0.269702		0
0.179		0.270435		0
0.18		0.271159		0
0.181		0.271875		0
0.182		0.272583		0
0.183		0.273282		0
0.184		0.273974		0
0.185		0.274658		0
0.186		0.275334		0
0.187		0.276002		0
0.188		0.276663		0
0.189		0.277317		0
0.19		0.277964		0
0.191		0.278604		0
0.192		0.279237		0
0.193		0.279863		0
0.194		0.280482		0
0.195		0.281095		0
0.196		0.281701		0
0.197		0.282302		0
0.198		0.282896		0
0.199		0.283484		0
0.2		0.284065		0
0.201		0.284641		0
0.202		0.285212		0
0.203		0.285776		0
0.204		0.286335		0
0.205		0.286888		0
0.206		0.287436		0
0.207		0.287979		0
0.208		0.288516		0
0.209		0.289048		0
0.21		0.289575		0
0.211		0.290097		0
0.212		0.290613		0
0.213		0.291125		0
0.214		0.291632		0
0.215		0.292134		0
0.216		0.292632		0
0.217		0.293125		0
0.218		0.293613		0
0.219		0.294096		0
0.22		0.294575		0
0.221		0.29505		0
0.222		0.29552		0
0.223		0.295985		0
0.224		0.296447		0
0.225		0.296904		0
0.226		0.297356		0
0.227		0.297805		0
0.228		0.298249		0
0.229		0.298689		0
0.23		0.299125		0
0.231		0.299557		0
0.232		0.299985		0
0.233		0.300409		0
0.234		0.300829		0
0.235		0.301245		0
0.236		0.301657		0
0.237		0.302065		0
0.238		0.302469		0
0.239		0.30287		0
0.24		0.303266		0
0.241		0.303659		0
0.242		0.304048		0
0.243		0.304433		0
0.244		0.304814		0
0.245		0.305192		0
0.246		0.305566		0
0.247		0.305936		0
0.248		0.306302		0
0.249		0.306665		0
0.25		0.307024		0
0.251		0.30738		0
0.252		0.307732		0
0.253		0.30808		0
0.254		0.308425		0
0.255		0.308766		0
0.256		0.309103		0
0.257		0.309437		0
0.258		0.309767		0
0.259		0.310094		0
0.26		0.310417		0
0.261		0.310737		0
0.262		0.311053		0
0.263		0.311365		0
0.264		0.311674		0
0.265		0.31198		0
0.266		0.312282		0
0.267		0.31258		0
0.268		0.312875		0
0.269		0.313167		0
0.27		0.313455		0
0.271		0.313739		0
0.272		0.31402		0
0.273		0.314298		0
0.274		0.314572		0
0.275		0.314842		0
0.276		0.315109		0
0.277		0.315373		0
0.278		0.315633		0
0.279		0.31589		0
0.28		0.316143		0
0.281		0.316393		0
0.282		0.31664		0
0.283		0.316883		0
0.284		0.317122		0
0.285		0.317358		0
0.286		0.317591		0
0.287		0.31782		0
0.288		0.318046		0
0.289		0.318268		0
0.29		0.318487		0
0.291		0.318703		0
0.292		0.318915		0
0.293		0.319124		0
0.294		0.319329		0
0.295		0.319531		0
0.296		0.31973		0
0.297		0.319925		0
0.298		0.320117		0
0.299		0.320306		0
0.3		0.320491		0
0.301		0.320672		0
0.302		0.320851		0
0.303		0.321026		0
0.304		0.321197		0
0.305		0.321365		0
0.306		0.32153		0
0.307		0.321692		0
0.308		0.32185		0
0.309		0.322005		0
0.31		0.322156		0
0.311		0.322304		0
0.312		0.322449		0
0.313		0.322591		0
0.314		0.322729		0
0.315		0.322864		0
0.316		0.322995		0
0.317		0.323124		0
0.318		0.323249		0
0.319		0.32337		0
0.32		0.323489		0
0.321		0.323604		0
0.322		0.323716		0
0.323		0.323824		0
0.324		0.32393		0
0.325		0.324032		0
0.326		0.324131		0
0.327		0.324226		0
0.328		0.324319		0
0.329		0.324408		0
0.33		0.324494		0
0.331		0.324577		0
0.332		0.324656		0
0.333		0.324733		0
0.334		0.324806		0
0.335		0.324876		0
0.336		0.324943		0
0.337		0.325007		0
0.338		0.325067		0
0.339		0.325125		0
0.34		0.325179		0
0.341		0.32523		0
0.342		0.325278		0
0.343		0.325323		0
0.344		0.325365		0
0.345		0.325404		0
0.346		0.32544		0
0.347		0.325472		0
0.348		0.325502		0
0.349		0.325528		0
0.35		0.325552		0
0.351		0.325572		0
0.352		0.32559		0
0.353		0.325604		0
0.354		0.325616		0
0.355		0.325624		0
0.356		0.32563		0
0.357		0.325633		0
0.358		0.325632		0
0.359		0.325629		0
0.36		0.325623		0
0.361		0.325613		0
0.362		0.325601		0
0.363		0.325586		0
0.364		0.325569		0
0.365		0.325548		0
0.366		0.325524		0
0.367		0.325498		0
0.368		0.325469		0
