0.001		-nan(ind)		-nan(ind)
0.002		-nan(ind)		-nan(ind)
0.003		-nan(ind)		-nan(ind)
0.004		-nan(ind)		-nan(ind)
0.284		0.487791		0
0.285		0.487682		0
0.286		0.487563		0
0.287		0.487435		0
0.288		0.487298		0
0.289		0.487151		0
0.29		0.486995		0
0.291		0.48683		0
0.292		0.486656		0
0.293		0.486474		0
0.294		0.486282		0
0.295		0.486083		0
0.296		0.485875		0
0.297		0.485658		0
0.298		0.485434		0
0.299		0.485202		0
0.3		0.484961		0
0.301		0.484713		0
0.302		0.484457		0
0.303		0.484194		0
0.304		0.483923		0
0.305		0.483645		0
0.306		0.483359		0
0.307		0.483067		0
0.308		0.482767		0
0.309		0.48246		0
0.31		0.482147		0
0.311		0.481827		0
0.312		0.4815		0
0.313		0.481167		0
0.314		0.480827		0
0.315		0.480481		0
0.316		0.480128		0
0.317		0.47977		0
0.318		0.479405		0
0.319		0.479034		0
0.32		0.478658		0
0.321		0.478276		0
0.322		0.477888		0
0.323		0.477494		0
0.324		0.477095		0
0.325		0.47669		0
0.326		0.47628		0
0.327		0.475865		0
0.328		0.475444		0
0.329		0.475018		0
0.33		0.474588		0
0.331		0.474152		0
0.332		0.473711		0
0.333		0.473266		0
0.334		0.472816		0
0.335		0.472361		0
0.336		0.471901		0
0.337		0.471437		0
0.338		0.470969		0
0.339		0.470496		0
0.34		0.470019		0
0.341		0.469537		0
0.342		0.469052		0
0.343		0.468562		0
0.344		0.468068		0
0.345		0.46757		0
0.346		0.467068		0
0.347		0.466563		0
0.348		0.466053		0
0.349		0.46554		0
0.35		0.465023		0
0.351		0.464503		0
0.352		0.463979		0
0.353		0.463451		0
0.354		0.46292		0
0.355		0.462386		0
0.356		0.461848		0
0.357		0.461307		0
0.358		0.460763		0
0.359		0.460216		0
0.36		0.459665		0
0.361		0.459112		0
0.362		0.458555		0
0.363		0.457996		0
0.364		0.457433		0
0.365		0.456868		0
0.366		0.4563		0
0.367		0.455729		0
0.368		0.455156		0
0.369		0.454579		0
0.37		0.454001		0
0.371		0.453419		0
0.372		0.452835		0
0.373		0.452249		0
0.374		0.45166		0
0.375		0.451069		0
0.376		0.450476		0
0.377		0.44988		0
0.378		0.449282		0
0.379		0.448682		0
0.38		0.448079		0
0.381		0.447475		0
0.382		0.446868		0
0.383		0.446259		0
0.384		0.445649		0
0.385		0.445036		0
0.386		0.444421		0
0.387		0.443805		0
0.388		0.443187		0
0.389		0.442566		0
0.39		0.441945		0
0.391		0.441321		0
0.392		0.440696		0
0.393		0.440069		0
0.394		0.43944		0
0.395		0.43881		0
0.396		0.438178		0
0.397		0.437545		0
0.398		0.43691		0
0.399		0.436274		0
0.4		0.435636		0
0.401		0.434997		0
0.402		0.434356		0
0.403		0.433715		0
0.404		0.433072		0
0.405		0.432427		0
0.406		0.431782		0
0.407		0.431135		0
0.408		0.430487		0
0.409		0.429838		0
0.41		0.429188		0
0.411		0.428537		0
0.412		0.427884		0
0.413		0.427231		0
0.414		0.426577		0
0.415		0.425921		0
0.416		0.425265		0
0.417		0.424608		0
0.418		0.42395		0
0.419		0.423291		0
0.42		0.422631		0
0.421		0.421971		0
0.422		0.421309		0
0.423		0.420647		0
0.424		0.419985		0
0.425		0.419321		0
0.426		0.418657		0
0.427		0.417992		0
0.428		0.417326		0
0.429		0.41666		0
0.43		0.415994		0
0.431		0.415326		0
0.432		0.414659		0
0.433		0.41399		0
0.434		0.413321		0
0.435		0.412652		0
0.436		0.411982		0
0.437		0.411312		0
0.438		0.410642		0
0.439		0.409971		0
0.44		0.409299		0
0.441		0.408627		0
0.442		0.407955		0
0.443		0.407283		0
0.444		0.40661		0
0.445		0.405938		0
0.446		0.405264		0
0.447		0.404591		0
0.448		0.403918		0
0.449		0.403244		0
0.45		0.40257		0
0.451		0.401896		0
0.452		0.401222		0
0.453		0.400547		0
0.454		0.399873		0
0.455		0.399198		0
0.456		0.398524		0
0.457		0.397849		0
0.458		0.397174		0
0.459		0.3965		0
0.46		0.395825		0
0.461		0.39515		0
0.462		0.394476		0
0.463		0.393801		0
0.464		0.393127		0
0.465		0.392452		0
0.466		0.391778		0
0.467		0.391104		0
0.468		0.39043		0
0.469		0.389756		0
0.47		0.389082		0
0.471		0.388408		0
0.472		0.387735		0
0.473		0.387062		0
0.474		0.386389		0
0.475		0.385716		0
0.476		0.385043		0
0.477		0.384371		0
0.478		0.383699		0
0.479		0.383027		0
0.48		0.382356		0
0.481		0.381685		0
0.482		0.381014		0
0.483		0.380343		0
0.484		0.379673		0
0.485		0.379003		0
0.486		0.378334		0
0.487		0.377665		0
0.488		0.376996		0
0.489		0.376328		0
0.49		0.37566		0
0.491		0.374993		0
0.492		0.374326		0
0.493		0.373659		0
0.494		0.372993		0
0.495		0.372328		0
0.496		0.371662		0
0.497		0.370998		0
0.498		0.370334		0
0.499		0.36967		0
0.5		0.369007		0
0.501		0.368344		0
0.502		0.367682		0
0.503		0.367021		0
0.504		0.36636		0
0.505		0.3657		0
0.506		0.36504		0
0.507		0.364381		0
0.508		0.363722		0
0.509		0.363064		0
0.51		0.362407		0
0.511		0.36175		0
0.512		0.361094		0
0.513		0.360439		0
0.514		0.359784		0
0.515		0.35913		0
0.516		0.358476		0
0.517		0.357824		0
0.518		0.357171		0
0.519		0.35652		0
0.52		0.355869		0
0.521		0.355219		0
0.522		0.35457		0
0.523		0.353921		0
0.524		0.353273		0
0.525		0.352626		0
0.526		0.35198		0
0.527		0.351334		0
0.528		0.350689		0
0.529		0.350045		0
0.53		0.349402		0
0.531		0.348759		0
0.532		0.348117		0
0.533		0.347476		0
0.534		0.346836		0
0.535		0.346196		0
0.536		0.345558		0
0.537		0.34492		0
0.538		0.344283		0
0.539		0.343647		0
0.54		0.343011		0
0.541		0.342377		0
0.542		0.341743		0
0.543		0.34111		0
0.544		0.340478		0
0.545		0.339847		0
0.546		0.339217		0
0.547		0.338587		0
0.548		0.337959		0
0.549		0.337331		0
0.55		0.336704		0
0.551		0.336078		0
0.552		0.335453		0
0.553		0.334829		0
0.554		0.334206		0
0.555		0.333583		0
0.556		0.332962		0
0.557		0.332341		0
0.558		0.331722		0
0.559		0.331103		0
0.56		0.330485		0
0.561		0.329868		0
0.562		0.329252		0
0.563		0.328637		0
0.564		0.328023		0
0.565		0.32741		0
0.566		0.326798		0
0.567		0.326186		0
0.568		0.325576		0
0.569		0.324967		0
0.57		0.324358		0
0.571		0.323751		0
0.572		0.323145		0
0.573		0.322539		0
0.574		0.321934		0
0.575		0.321331		0
0.576		0.320728		0
0.577		0.320127		0
0.578		0.319526		0
0.579		0.318927		0
0.58		0.318328		0
0.581		0.31773		0
0.582		0.317134		0
0.583		0.316538		0
0.584		0.315943		0
0.585		0.31535		0
0.586		0.314757		0
0.587		0.314165		0
0.588		0.313575		0
0.589		0.312985		0
0.59		0.312396		0
0.591		0.311809		0
0.592		0.311222		0
0.593		0.310636		0
0.594		0.310052		0
0.595		0.309468		0
0.596		0.308886		0
0.597		0.308304		0
0.598		0.307724		0
0.599		0.307144		0
0.6		0.306566		0
0.601		0.305989		0
0.602		0.305412		0
0.603		0.304837		0
0.604		0.304263		0
0.605		0.303689		0
0.606		0.303117		0
0.607		0.302546		0
0.608		0.301976		0
0.609		0.301407		0
0.61		0.300839		0
0.611		0.300272		0
0.612		0.299706		0
0.613		0.299141		0
0.614		0.298577		0
0.615		0.298014		0
0.616		0.297452		0
0.617		0.296891		0
0.618		0.296332		0
0.619		0.295773		0
0.62		0.295216		0
0.621		0.294659		0
0.622		0.294104		0
0.623		0.293549		0
0.624		0.292996		0
0.625		0.292444		0
0.626		0.291892		0
0.627		0.291342		0
